LINE_RATE,N,D,S,X,U,W,OUTPUT_QUEUE_DEPTH,MULTICAST_SUPPORT,clk,part_number,Slices/CLBs,Slices/CLBs %,Slice/CLB LUTs,Slice/CLB LUTs %,LUT as Memory,LUT as Memory %,Slice/CLB Regs,Slice/CLB Regs %,BRAMs,BRAMs%,URAMs,URAMs%,DSPs,DSPs %,WNS(ns),TNS(ns),NNS,WHS(ns),THS(ns),NHS,Timing Status
25,104,4096,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,47533,32.16,164454,13.91,46838,7.91,340555,14.40,884,40.93,104,10.83,0,0.00,0.023,0.000,0,0.003,0.000,0,Met
25,112,4096,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,54100,36.61,182098,15.40,50428,8.52,385929,16.32,952,44.07,112,11.67,0,0.00,-0.150,-2.559,63,0.003,0.000,0,Not Met

25,8,4096,8,512,1,144,32,0,3.08,xcku3p-ffvb676-3-e,1907,7.03,6551,4.03,1586,1.59,11733,3.61,10,2.78,16,33.33,0,0.00,0.437,0.000,0,0.032,0.000,0,Met
25,16,4096,8,512,1,144,32,0,3.08,xcku3p-ffvb676-3-e,4699,17.33,15783,9.70,3946,3.95,31573,9.70,52,14.44,32,66.67,0,0.00,0.474,0.000,0,0.029,0.000,0,Met
25,24,4096,8,512,1,144,32,0,3.08,xcvu3p-ffvc1517-3-e,7571,15.37,27522,6.98,7055,3.58,52347,6.64,126,17.50,48,15.00,0,0.00,0.240,0.000,0,0.021,0.000,0,Met
25,32,4096,8,512,1,144,32,0,3.08,xcvu3p-ffvc1517-3-e,10905,22.14,39182,9.94,9396,4.76,79924,10.14,168,23.33,64,20.00,0,0.00,0.248,0.000,0,0.010,0.000,0,Met
25,40,4096,8,512,1,144,32,0,3.08,xcvu3p-ffvc1517-3-e,16297,33.08,56826,14.42,13793,6.99,119967,15.22,290,40.28,80,25.00,0,0.00,0.293,0.000,0,0.007,0.000,0,Met
25,48,4096,8,512,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,19563,19.86,72464,12.07,16542,4.19,159138,13.25,348,33.98,96,20.43,0,0.00,0.088,0.000,0,0.003,0.000,0,Met
25,56,4096,8,512,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,25243,25.62,88876,14.80,21939,5.56,197040,16.40,518,50.59,112,23.83,0,0.00,0.081,0.000,0,0.008,0.000,0,Met
25,64,4096,8,512,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,31054,31.52,106991,17.81,25064,6.35,245406,20.43,592,57.81,128,27.23,0,0.00,0.009,0.000,0,0.016,0.000,0,Met
25,72,4096,8,512,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,40897,41.51,141110,23.50,30990,7.85,322598,26.86,828,80.86,144,30.64,0,0.00,-0.143,-7.861,182,0.006,0.000,0,Not Met
25,48,4096,8,512,1,144,32,0,3.08,xcvu9p-flga2577-3-e,20139,13.63,72430,6.13,16542,2.80,159132,6.73,348,16.11,96,10.00,0,0.00,0.094,0.000,0,0.005,0.000,0,Met
25,56,4096,8,512,1,144,32,0,3.08,xcvu9p-flga2577-3-e,25274,17.10,88851,7.52,21939,3.71,197057,8.33,518,23.98,112,11.67,0,0.00,0.147,0.000,0,0.013,0.000,0,Met
25,64,4096,8,512,1,144,32,0,3.08,xcvu9p-flga2577-3-e,31631,21.40,107044,9.05,25064,4.23,245419,10.38,592,27.41,128,13.33,0,0.00,0.000,0.000,0,0.004,0.000,0,Met
